date,day,month,year,unrounded.time,time,avgnoise,count,observ_id,avgsurfacetime,mediansurfacetime,sdsurfacetime,sealpresence,ubar,Vmag,PC1,notes
2023-06-20,20,6,2023,14:54,15,50.03333333,1,1,35.50,35.5,NA,0,-0.010036686,0.031990187,0.040084988,
2023-06-21,21,6,2023,14:25,14,50.61333333,3,2,NA,NA,NA,1,-0.009085625,0.015092055,-0.022828494,"only using pier data, so removing jack messed up days"
2023-06-22,22,6,2023,14:44,15,52.98,9,3,92.50,45,109.7527524,1,-0.011482083,0.02195008,-0.002523941,
2023-06-25,25,6,2023,14:47,15,48.46,5,4,44.00,39.5,19.88299106,1,0.002563401,0.017259977,-0.018190293,
2023-06-27,27,6,2023,17:55,18,52.26666667,4,5,25.00,25.5,12.98717316,1,-0.013847931,0.034663028,-0.019261862,
2023-06-29,29,6,2023,18:59,19,57.8,0,6,NA,NA,NA,0,0.041529108,0.041529546,-0.023763237,
2023-07-05,5,7,2023,17:47,18,48.46666667,6,7,38.20,28,27.47180373,1,-0.034626894,0.046094846,0.063985579,
2023-07-06,6,7,2023,13:51,14,44.93333333,12,8,23.43,22,9.812528435,1,-0.024711296,0.025642544,-0.012475006,
2023-07-07,7,7,2023,9:12,9,54.82666667,11,9,21.38,20.5,11.28763546,1,-0.009659763,0.061058144,0.018810826,
2023-07-12,12,7,2023,18:25,18,49.06666667,1,10,16.00,16,NA,0,-0.001334033,0.015862568,0.03933317,
2023-07-13,13,7,2023,9:33,10,51.26666667,10,11,27.43,30,12.48808956,1,0.003863054,0.050069605,0.08867426,
2023-07-14,14,7,2023,8:28,8,48.86666667,12,12,18.86,19,8.454359259,1,-0.006763895,0.013449197,0.03234934,
2023-07-17,17,7,2023,8:35,9,58.74,12,13,16.80,17.00,9.04,1,-0.009961021,0.017874803,-0.082770895,
2023-07-18,18,7,2023,14:52,15,43.3,11,14,14.71,15,8.769536014,1,0.009097834,0.023334853,0.021582721,
2023-07-19,19,7,2023,15:55,16,45.92666667,8,15,24.67,20,11.91077943,1,-0.006053693,0.020019868,0.035125335,
2023-07-20,20,7,2023,9:50,10,54.03333333,13,16,10.80,11,5.310367219,1,-0.022414465,0.027400286,-0.046670751,
2023-07-21,21,7,2023,7:35,8,58.11333333,6,17,NA,NA,NA,1,-0.030966422,0.067060925,0.116267957,
2023-07-24,24,7,2023,8:30,9,54.38,10,18,13.40,11.5,7.876829593,1,-0.000900956,0.044929616,0.019305304,
2023-07-25,25,7,2023,17:42,18,51.92,7,19,26.16,11.7,29.71384958,1,0.029415065,0.029571935,0.016362873,
2023-07-26,26,7,2023,17:07,17,41.96,7,20,24.45,16.08,24.73383654,1,0.007119514,0.040517612,-0.016036617,
2023-07-28,28,7,2023,17:30,18,50.19333333,8,21,9.00,7,6.757711644,1,0.017049866,0.052990115,-0.000644352,
2023-07-31,31,7,2023,8:35,9,52.68,6,22,17.83,18.5,9.847165413,1,-0.000942425,0.023961957,-0.046864085,
2023-08-01,1,8,2023,15:26,15,46,10,23,28.71,26,6.395683068,1,-0.015373746,0.01547488,0.029560307,
2023-08-02,2,8,2023,15:42,16,42.89333333,8,24,29.92,22.3,16.53774471,1,-0.022562426,0.022606463,0.033406525,
2023-08-05,5,8,2023,11:55,12,47.51333333,7,25,10.80,12,6.058052492,1,-0.00878888,0.017853897,-0.045005007,
2023-08-07,7,8,2023,8:40,9,54.86666667,5,26,16.25,18.00,4.991659711,1,-0.023481293,0.038205,0.009018653,
2023-08-08,8,8,2023,17:44,18,49.91333333,4,27,23.13,22.7,7.936571468,1,0.029547375,0.04227464,-0.002026181,
2023-08-10,10,8,2023,10:42,11,52.41333333,7,28,23.60,21,10.2859127,1,0.013077158,0.0142998,0.017758409,
2023-08-11,11,8,2023,17:01,17,48.02666667,4,29,20.67,20,1.154700538,1,0.009896916,0.034693841,-0.020280069,
2023-08-14,14,8,2023,8:30,9,54.52666667,5,30,14.33,5,16.16580754,1,-0.01615865,0.016278658,-0.04832649,
2023-08-15,15,8,2023,15:15,15,48.6,5,31,26.73,33.4,12.08558108,1,-0.0208124,0.02128394,0.028437941,
2023-08-16,16,8,2023,19:16,19,46.52,8,32,25.50,26,6.41092817,1,-0.041143514,0.068845766,0.073571714,
2023-08-18,18,8,2023,15:50,16,41.98,7,33,25.29,29,15.39171082,1,-0.03445917,0.040683996,0.040054375,
2023-08-21,21,8,2023,8:43,9,52.85333333,3,34,14.00,15,1.732050808,1,-0.026556315,0.045895877,0.000116718,
2023-08-22,22,8,2023,18:00,18,44.46,7,35,25.04,30.86,14.053047,1,0.028529778,0.030076874,0.071705936,
2023-08-23,23,8,2023,10:30,11,50.66,1,36,15.00,15,NA,0,0.026977636,0.049220565,0.044312542,
2023-08-24,24,8,2023,15:37,16,48.79333333,3,37,44.33,37,13.57694124,1,0.019265611,0.020813228,-0.016493665,
2023-08-28,28,8,2023,8:12,8,54.34,7,38,19.43,13,17.07685708,1,-0.002848817,0.014185457,-0.025718475,
2023-08-29,29,8,2023,15:52,16,50.30666667,3,39,29.22,28.63,1.659678684,1,0.023152066,0.039703664,0.073599202,
2023-08-30,30,8,2023,16:40,17,53.21333333,2,40,16.00,16,5.656854249,1,0.040295448,0.101221575,0.06552788,
2023-09-01,1,9,2023,14:45,15,49.90666667,7,41,18.17,22.5,11.72035267,1,0.010942412,0.012301984,0.0306996,
2023-09-02,2,9,2023,18:10,18,50.03333333,0,42,NA,NA,NA,0,-0.007936426,0.049109988,0.044011874,
2023-09-05,5,9,2023,19:02,19,50.10666667,6,43,21.00,20,19.5192213,1,0.001820848,0.019753138,0.055266126,
2023-09-11,11,9,2023,8:08,8,47.38,1,44,150.00,150,NA,0,-0.003062199,0.00384767,-0.02004362,
2023-09-13,13,9,2023,16:02,16,43.42666667,3,45,31.33,30,12.05542755,1,0.013685308,0.018737316,0.012648996,
2023-09-20,20,9,2023,18:31,19,46.77333333,3,46,24.67,20,10.78579312,1,0.024944054,0.038516461,0.000615356,
2023-09-25,25,9,2023,8:44,9,64.96666667,6,47,21.00,16.5,17.93320942,1,-0.008699978,0.02208169,0.005203378,
2023-09-27,27,9,2023,11:59,12,51.56923077,9,48,20.67,16,8.746427842,1,-0.003640207,0.00580325,0.021936434,
2023-09-28,28,9,2023,8:44,9,58.62666667,3,49,31.00,31,NA,1,0.000680845,0.03199573,-0.0437367,
2023-09-29,29,9,2023,13:05,13,52.20666667,3,50,35.67,32,12.89702808,1,0.039060649,0.041253895,0.018597785,
2023-10-03,3,10,2023,14:05,14,46.07333333,0,51,NA,NA,NA,0,0.011582986,0.03990235,-0.041068474,
2023-10-04,4,10,2023,11:52,12,52.07333333,7,52,NA,NA,NA,1,-0.012157816,0.044514112,-0.030441584,removed because they were approximate times
2023-10-10,10,10,2023,17:33,18,48.38,6,53,25.23,28.8,15.83220347,1,0.004031546,0.017575055,0.028810991,4 seals in the water and then an additional two that had been hauled out
2023-10-11,11,10,2023,11:58,12,44.5,4,54,19.50,23.00,8.386497084,1,0.045384314,0.06187756,0.046443268,
2023-10-12,12,10,2023,8:54,9,52.5466667,3,55,14.00,14,5.656854249,1,0.014074472,0.01719403,-0.02485051,
2023-10-13,13,10,2023,11:34,12,55.7,3,56,51.00,37,28.68797658,1,0.019332848,0.031049609,-0.006602603,
2023-10-17,17,10,2023,13:59,14,49.46666667,5,57,41.60,52,24.98599608,1,0.008233055,0.013928382,-0.012848745,
2023-10-18,18,10,2023,11:52,12,52.18,5,58,17.00,0:00,14.88,1,0.037530228,0.052093556,-0.002129495,
2023-10-19,19,10,2023,8:57,9,53.94666667,4,59,16.75,16,11.52894907,1,-0.013014609,0.03288223,-0.002796558,
2023-10-24,24,10,2023,14:46,15,53.02,2,60,27.95,27.95,3.040559159,1,-0.026928881,0.02736908,0.000731933,
2023-10-25,25,10,2023,11:52,12,53.6,7,61,22.71,20,17.93241279,1,-0.045471054,0.06651337,0.077907394,
2023-10-26,26,10,2023,9:14,9,49.45333333,1,62,36.00,36,NA,0,-0.030958254,0.038090629,0.01172781,
2023-10-27,27,10,2023,11:46,12,53.05333333,2,63,22.00,22,2.828427125,1,-0.020295773,0.02332472,0.023099692,
2023-10-31,31,10,2023,13:54,14,50.8,2,64,22.50,22.5,20.64751801,1,0.025026545,0.03869228,-0.031541415,
2023-11-01,1,11,2023,12:00,12,47.48,2,65,14.50,14.5,0.707106781,1,0.017263073,0.0580749,-0.039727966,
2023-11-02,2,11,2023,9:03,9,54.64,5,66,27.67,17,19.34769581,1,0.002819127,0.002960056,0.047012014,
2023-11-03,3,11,2023,12:12,12,52.56,3,67,25.00,20.00,13.22875656,1,0.011420029,0.031916685,0.000384788,
2023-11-07,7,11,2023,13:46,14,47.08,4,68,23.23,23.7,4.003644173,1,0.029353039,0.02954334,-0.027010842,
2023-11-08,8,11,2023,11:54,12,56.93333333,7,69,25.00,26,13.56465997,1,0.028853988,0.034004745,0.042413819,
2023-11-14,14,11,2023,15:14,15,47.45333333,2,70,34.20,34.195,17.21805012,1,0.002887695,0.010169575,0.003677321,
2023-11-15,15,11,2023,11:56,12,49.59333333,2,71,20.00,20,14.14213562,1,0.00684583,0.0548004,-0.018037377,
2023-11-16,16,11,2023,8:55,9,54.6,3,72,42.00,42,1.414213562,1,-0.007307016,0.00892668,-0.014993121,
2023-11-17,17,11,2023,12:09,12,49.1,3,73,33.33,30.00,22.18858565,1,0.010972715,0.040235476,-0.037268918,
2023-11-21,21,11,2023,14:56,15,56.13,4,74,51.06,51.06,8.04687517,1,-0.020706983,0.021236966,-0.039423777,
2023-11-28,28,11,2023,14:05,14,52.18,1,75,28.66,28.66,NA,0,0.005930083,0.022375406,0.00320781,
2023-11-29,29,11,2023,11:50,12,45.15,6,76,24.33,20.00,13.048627,1,0.00608601,0.04445535,-0.018443008,
2023-11-30,30,11,2023,8:53,9,49.82,1,77,NA,NA,NA,0,-0.016802374,0.017983433,-0.005373905,
2023-12-01,1,12,2023,12:07,12,54.56,6,78,19.00,18.50,6.196773354,1,-0.002858523,0.020561542,-0.073250857,
2023-12-05,5,12,2023,14:29,14,52.51,2,79,42.16,42.16,13.47038418,1,0.047819644,0.202014681,0.002805626,
2023-12-08,8,12,2023,11:55,12,45.25,0,80,NA,NA,NA,0,0.033013258,0.03306098,0.000537831,
2023-12-09,9,12,2023,10:15,10,57.04,2,81,38.00,38.00,NA,1,0.019564725,0.03686292,0.004337781,
2024-01-15,15,13,2024,9:57,10,52.29,2,82,33.00,33.00,22.627417,1,-0.037481826,0.05314835,-2.02195E-05,
2024-01-16,16,13,2024,8:30,9,49.42,5,83,NA,NA,NA,1,-0.030358534,0.04805709,0.014755376,
2024-01-22,22,13,2024,9:38,10,58.33,2,84,32.00,32.00,NA,1,0.02982429,0.07647246,-0.015882535,
2024-01-23,23,13,2024,8:18,8,51.17,4,85,48.75,46.50,30.72865113,1,0.030025277,0.043445911,-0.014699356,
2024-01-25,25,13,2024,12:12,12,52.85,1,86,24.00,24.00,NA,0,-0.007656829,0.00772976,0.011664353,
2024-01-29,29,13,2024,9:44,10,54.52,2,87,4.00,4.00,NA,1,0.019596774,0.020268692,-0.049563451,
2024-01-30,30,13,2024,8:30,9,49.19,0,88,NA,NA,NA,0,0.016045418,0.035568,-0.004176454,
2024-01-31,31,13,2024,16:06,16,49.30,0,89,NA,NA,NA,0,0.01413062,0.022803223,-0.016312376,
2024-02-05,5,14,2024,9:40,10,51.77,3,90,21.00,21.00,25.45584412,1,0.022262,0.0278367,-0.011839783,
2024-02-08,8,14,2024,12:26,12,43.98,2,91,19.00,19.00,NA,1,-0.028504299,0.032227,0.024633966,
2024-02-06,6,14,2024,8:30,9,52.09,4,92,31.75,20.00,34.47100231,1,0.000426536,0.050285237,-0.023379914,
2024-02-12,12,14,2024,9:38,10,52.90,1,93,6.00,6.00,NA,0,0.007327947,0.05089532,-0.010098414,
2024-02-13,13,14,2024,8:28,8,56.41,2,94,27.00,27.00,NA,1,-0.017241936,0.03777327,0.027461249,
2024-02-15,15,14,2024,12:32,13,48.39,3,95,31.58,33.74,8.703401634,1,-0.034619283,0.063006211,0.003037122,
2024-02-20,20,14,2024,8:30,9,48.02,2,96,40.50,40.50,7.778174593,1,0.009457951,0.03525407,-0.026080714,
2024-02-26,26,14,2024,9:41,10,42.49,2,97,32.50,32.50,12.02081528,1,0.012455864,0.027021361,-0.018836066,
2024-02-27,27,14,2024,8:35,9,51.97,2,98,27.5,27.5,28.99137803,1,NA,NA,-0.013261344,
2024-02-29,29,14,2024,12:32,13,55.86,2,99,2.5,2.5,0.707106781,1,NA,NA,-0.007018702,
2024-03-04,4,15,2024,9:42,10,58.44,0,100,NA,NA,NA,0,NA,NA,0.006689957,
2024-03-07,7,15,2024,12:43,13,44.84,1,101,19.3,19.3,NA,0,NA,NA,0.002883056,
2024-03-11,11,15,2024,9:43,10,55.58,1,102,30,30,NA,0,NA,NA,0.000239794,
2024-04-02,2,16,2024,9:38,10,51.4,0,103,NA,NA,NA,0,NA,NA,-0.010007126,
2024-04-03,3,16,2024,8:46,9,56.51333333,3,104,35,32,10.81665383,1,NA,NA,-0.014859314,
2024-04-05,5,16,2024,11:53,12,48.26666667,2,105,54.5,54.5,9.192388155,1,NA,NA,0.010332072,
2024-04-08,8,16,2024,11:48,12,58.35833333,5,106,NA,NA,NA,1,NA,NA,0.016479232,
2024-04-09,9,16,2024,9:31,10,56.14,6,107,NA,NA,NA,1,NA,NA,-0.039231936,
2024-04-10,10,16,2024,8:55,9,56.02,13,108,NA,NA,NA,1,NA,NA,-0.000286079,
2024-04-12,12,16,2024,13:05,13,47.59333333,3,109,31,31,1,1,NA,NA,-0.047866212,
2024-04-15,15,16,2024,16:50,17,45.29285714,1,110,31,31,NA,0,NA,NA,-0.016888092,
2024-04-16,16,16,2024,9:31,10,45.90666667,3,111,31.33333333,32,1.154700538,1,NA,NA,0.0030042,
2024-04-17,17,16,2024,8:27,8,51.61333333,5,112,NA,NA,NA,1,NA,NA,-0.011131913,
2024-04-19,19,16,2024,12:51,13,43.61333333,5,113,34.66666667,32,6.429100507,1,NA,NA,0.016393511,
2024-04-22,22,16,2024,11:38,12,46.55333333,4,114,NA,NA,NA,1,NA,NA,0.033436656,
2024-04-23,23,16,2024,9:43,10,55.34666667,4,115,NA,NA,NA,1,NA,NA,-0.037652898,
2024-04-24,24,16,2024,8:54,9,50.24666667,6,116,NA,NA,NA,1,NA,NA,-0.02333993,
2024-04-26,26,16,2024,12:52,13,44.76,2,117,29,29,12.72792206,1,NA,NA,-0.031324715,
2024-04-29,29,16,2024,11:30,12,50.18666667,3,118,29.5,29.5,7.778174593,1,NA,NA,-0.035205825,
2024-04-30,30,16,2024,9:45,10,54.1,0,119,NA,NA,NA,0,NA,NA,0.000985291,
2024-05-01,1,17,2024,8:30,9,55.14,2,120,27,27,0,1,NA,NA,0.075785302,
2024-05-03,3,17,2024,12:54,13,45.86666667,5,121,33.8,29,12.79453008,1,NA,NA,0.005104199,
2024-05-07,7,17,2024,9:30,10,49.56,5,122,37.8,39,27.48090246,1,NA,NA,-0.052831887,
2024-05-08,8,17,2024,8:40,9,43.15333333,4,123,29.5,25.5,22.60530911,1,NA,NA,-0.048376752,
2024-05-10,10,17,2024,12:58,13,47.96,7,124,33,27,14.2126704,1,NA,NA,-0.041214248,
2024-05-14,14,17,2024,9:44,10,43.74,1,125,18,18,#DIV/0!,0,NA,NA,-0.008002742,
2024-05-15,15,17,2024,8:40,9,45.54,3,126,24,24,8.485281374,1,NA,NA,-0.00038028,
2024-05-17,17,17,2024,12:54,13,48.40666667,4,127,20,20,4.760952286,1,NA,NA,0.022080952,
2024-05-20,20,17,2024,11:31,12,43.35333333,3,128,19.66666667,21,11.06044002,1,NA,NA,0.025607586,
2024-05-21,21,17,2024,9:27,9,58.02,2,129,35.5,35.5,4.949747468,1,NA,NA,0.062154212,
2024-05-24,24,17,2024,12:57,13,43.77333333,0,130,NA,NA,NA,0,NA,NA,-0.017666437,
2024-05-28,28,17,2024,9:28,9,52.02666667,3,131,13.33333333,15,2.886751346,1,NA,NA,-0.037038955,
2024-06-03,3,18,2024,11:49,12,55.7,0,132,NA,NA,NA,0,NA,NA,0.004543371,
2024-06-05,5,18,2024,8:30,9,63.42,0,133,NA,NA,NA,0,NA,NA,-0.046831203,
2024-06-07,7,18,2024,13:14,13,55.86666667,2,134,13,13,12.72792206,1,NA,NA,-0.018006988,
